"protein","clstr","name"
"WP_214724844.1",3085,"MULTISPECIES U32 FAMILY PEPTIDASE BACTERIA"
"WP_059763042.1",3086,"MULTISPECIES FLAGELLAR ASSEMBLY PEPTIDOGLYCAN HYDROLASE FLGJ BACTERIA"
"WP_050098021.1",3087,"MULTISPECIES ATPBINDING PROTEIN BACTERIA"
"WP_114548055.1",3088,"MULTISPECIES ISL3 FAMILY TRANSPOSASE BACTERIA"
"WP_214723473.1",3089,"MULTISPECIES GGDEF DOMAINCONTAINING PROTEIN BACTERIA"
"WP_017683608.1",3090,"MULTISPECIES GROUP II INTRON REVERSE TRANSCRIPTASEMATURASE BACTERIA"
"WP_163871886.1",3091,"MULTISPECIES MFS TRANSPORTER BACTERIA"
"WP_096379872.1",3092,"MULTISPECIES HAD HYDROLASELIKE PROTEIN BACTERIA"
"WP_214722715.1",3093,"MULTISPECIES GLYCOSYLTRANSFERASE BACTERIA"
"WP_123194060.1",3094,"MULTISPECIES SERINE HYDROXYMETHYLTRANSFERASE BACTERIA"
"WP_214729337.1",3095,"MULTISPECIES OFA FAMILY MFS TRANSPORTER BACTERIA"
"WP_008376678.1",3096,"MULTISPECIES PTS TRANSPORTER SUBUNIT EIIC BACTERIA"
"WP_008767234.1",3097,"MULTISPECIES GLYCOSYLTRANSFERASE FAMILY 4 PROTEIN BACTERIA"
"WP_006681679.1",3098,"MULTISPECIES CELL DIVISION PROTEIN FTSZ BACTERIA"
"WP_214704915.1",3099,"MULTISPECIES MOLYBDOPTERIN MOLYBDOTRANSFERASE MOEA BACTERIA"
"WP_117814330.1",3100,"MULTISPECIES UDPNACETYLGLUCOSAMINE 1CARBOXYVINYLTRANSFERASE BACTERIA"
"WP_214722769.1",3101,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_015974449.1",3102,"MULTISPECIES PHAGE PORTAL PROTEIN BACTERIA"
"WP_001258048.1",3103,"MULTISPECIES GENERAL SECRETION PATHWAY PROTEIN GSPD BACTERIA"
"WP_010744437.1",3104,"MULTISPECIES PTS TRANSPORTER SUBUNIT EIIC BACTERIA"
"WP_003159152.1",3105,"MULTISPECIES PHAGERELATED MEMBRANE PROTEIN BACTERIA"
"WP_214727494.1",3106,"MULTISPECIES HAMP DOMAINCONTAINING HISTIDINE KINASE BACTERIA"
"WP_006681555.1",3107,"MULTISPECIES TYROSINETRNA LIGASE BACTERIA"
"WP_163871198.1",3108,"MULTISPECIES SITESPECIFIC INTEGRASE BACTERIA"
"WP_214704093.1",3109,"MULTISPECIES RIP METALLOPROTEASE RSEP BACTERIA"
"WP_000608644.1",3110,"MULTISPECIES IS1380LIKE ELEMENT ISECP1 FAMILY TRANSPOSASE BACTERIA"
"WP_214709706.1",3111,"MULTISPECIES MFS TRANSPORTER BACTERIA"
"WP_142422210.1",3112,"MULTISPECIES LRHAMNOSE ISOMERASE BACTERIA"
"WP_012737442.1",3113,"MULTISPECIES PTS GALACTITOL TRANSPORTER SUBUNIT IIC BACTERIA"
"WP_000517490.1",3114,"MULTISPECIES ATPBINDING PROTEIN BACTERIA"
"WP_149876851.1",3115,"MULTISPECIES DUF4373 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_005816273.1",3116,"MULTISPECIES ATPBINDING PROTEIN BACTERIA"
"WP_124019093.1",3117,"MULTISPECIES EXTRACELLULAR SOLUTEBINDING PROTEIN BACTERIA"
"WP_024629880.1",3118,"MULTISPECIES SUGAR ABC TRANSPORTER SUBSTRATEBINDING PROTEIN BACTERIA"
"WP_161171064.1",3119,"MULTISPECIES RIDA FAMILY PROTEIN BACTERIA"
"WP_075912592.1",3120,"MULTISPECIES SITESPECIFIC INTEGRASE BACTERIA"
"WP_000119405.1",3121,"MULTISPECIES PLASMID RECOMBINATION PROTEIN BACTERIA"
"WP_177919717.1",3122,"MULTISPECIES PROLYL OLIGOPEPTIDASE FAMILY SERINE PEPTIDASE BACTERIA"
"WP_010747740.1",3123,"MULTISPECIES PTS TRANSPORTER SUBUNIT EIIC BACTERIA"
"WP_002073783.1",3124,"MULTISPECIES IS21 FAMILY TRANSPOSASE BACTERIA"
"WP_001515701.1",3125,"MULTISPECIES IMIDAZOLONEPROPIONASE BACTERIA"
"WP_140455328.1",3126,"MULTISPECIES TOLC FAMILY PROTEIN BACTERIA"
"WP_013822173.1",3127,"MULTISPECIES SULFATE ADENYLYLTRANSFERASE BACTERIA"
"WP_016397615.1",3128,"MULTISPECIES REPLICATION INITIATION FACTOR DOMAINCONTAINING PROTEIN BACTERIA"
"WP_014892305.1",3129,"MULTISPECIES METHANE MONOOXYGENASEAMMONIA MONOOXYGENASE SUBUNIT B BACTERIA"
"WP_081118904.1",3130,"MULTISPECIES DNA HELICASE BACTERIA"
"WP_214722422.1",3131,"MULTISPECIES HELIXTURNHELIX DOMAINCONTAINING PROTEIN BACTERIA"
"WP_016928100.1",3132,"MULTISPECIES GLUTAMYLTRNA REDUCTASE BACTERIA"
"WP_214709812.1",3133,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_000312488.1",3134,"MULTISPECIES FTSH PROTEASE ACTIVITY MODULATOR HFLK BACTERIA"
"WP_004293566.1",3135,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214726466.1",3136,"MULTISPECIES DUF1343 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_103631677.1",3137,"MULTISPECIES ALANINE RACEMASE BACTERIA"
"WP_142430592.1",3138,"MULTISPECIES MFS TRANSPORTER BACTERIA"
"WP_119198312.1",3139,"MULTISPECIES M20M25M40 FAMILY METALLOHYDROLASE BACTERIA"
"WP_003125606.1",3140,"MULTISPECIES ABC TRANSPORTER SUBSTRATEBINDING PROTEIN BACTERIA"
"WP_002301280.1",3141,"MULTISPECIES CYTOCHROME P450 BACTERIA"
"WP_028020444.1",3142,"MULTISPECIES TRANSPOSASE BACTERIA"
"WP_024632789.1",3143,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_010744495.1",3144,"MULTISPECIES ABC TRANSPORTER PERMEASE BACTERIA"
"WP_010747713.1",3145,"MULTISPECIES SUGAR ABC TRANSPORTER SUBSTRATEBINDING PROTEIN BACTERIA"
"WP_214725769.1",3146,"MULTISPECIES FLAGELLAR HOOKLENGTH CONTROL PROTEIN FLIK BACTERIA"
"WP_002368103.1",3147,"MULTISPECIES PCFJ DOMAINCONTAINING PROTEIN BACTERIA"
"WP_048520042.1",3148,"MULTISPECIES DUF4158 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_010154755.1",3149,"MULTISPECIES TETRACYCLINE EFFLUX MFS TRANSPORTER TET33 BACTERIA"
"WP_002298134.1",3150,"MULTISPECIES TETRATRICOPEPTIDE REPEAT PROTEIN BACTERIA"
"WP_002335965.1",3151,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_002290371.1",3152,"MULTISPECIES EXTRACELLULAR SOLUTEBINDING PROTEIN BACTERIA"
"WP_204809695.1",3153,"MULTISPECIES HYPOTHETICAL PROTEIN PARTIAL BACTERIA"
"WP_002322867.1",3154,"MULTISPECIES M20 FAMILY METALLOHYDROLASE BACTERIA"
"WP_055266837.1",3155,"MULTISPECIES WINGED HELIXTURNHELIX DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214705138.1",3156,"MULTISPECIES DUF445 FAMILY PROTEIN BACTERIA"
"WP_033644475.1",3157,"MULTISPECIES REPLICATION INITIATION FACTOR DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214726969.1",3158,"MULTISPECIES ACYLCOA DEHYDROGENASE FAMILY PROTEIN BACTERIA"
"WP_214723171.1",3159,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214706611.1",3160,"MULTISPECIES CYTOCHROME P450 BACTERIA"
"WP_105568082.1",3161,"MULTISPECIES AGE FAMILY EPIMERASEISOMERASE BACTERIA"
"WP_047720677.1",3162,"MULTISPECIES DNA CIRCULARIZATION NTERMINAL DOMAINCONTAINING PROTEIN BACTERIA"
"WP_142427669.1",3163,"MULTISPECIES SITESPECIFIC INTEGRASE BACTERIA"
"WP_214724021.1",3164,"MULTISPECIES PUCR FAMILY TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_006681807.1",3165,"MULTISPECIES SUGAR ABC TRANSPORTER PERMEASE BACTERIA"
"WP_006680241.1",3166,"MULTISPECIES DUF4032 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_008762844.1",3167,"MULTISPECIES DUF4302 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214705180.1",3168,"MULTISPECIES GERXC FAMILY SPORE GERMINATION PROTEIN BACTERIA"
"WP_142963226.1",3169,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_006681123.1",3170,"MULTISPECIES PRSW FAMILY INTRAMEMBRANE METALLOPROTEASE BACTERIA"
"WP_079348649.1",3171,"MULTISPECIES DUF445 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_009305597.1",3172,"MULTISPECIES PEPTIDYLPROLYL ISOMERASE BACTERIA"
"WP_214722593.1",3173,"MULTISPECIES CATIONDICARBOXYLASE SYMPORTER FAMILY TRANSPORTER BACTERIA"
"WP_004144758.1",3174,"MULTISPECIES MFS TRANSPORTER BACTERIA"
"WP_029486087.1",3175,"MULTISPECIES ISL3 FAMILY TRANSPOSASE BACTERIA"
"WP_214724137.1",3176,"MULTISPECIES ATPBINDING PROTEIN BACTERIA"
"WP_001195739.1",3177,"MULTISPECIES DIAMINOBUTYRATE2OXOGLUTARATE TRANSAMINASE BACTERIA"
"WP_214724156.1",3178,"MULTISPECIES TYROSINETRNA LIGASE BACTERIA"
"WP_093357079.1",3179,"MULTISPECIES PBSX FAMILY PHAGE TERMINASE LARGE SUBUNIT BACTERIA"
"WP_142427018.1",3180,"MULTISPECIES TOPOISOMERASE IV BACTERIA"
"WP_131409304.1",3181,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_004182120.1",3182,"MULTISPECIES LACTOSE PERMEASE BACTERIA"
"WP_134326155.1",3183,"MULTISPECIES ACYLCOA DEHYDROGENASE FAMILY PROTEIN BACTERIA"
"WP_134866881.1",3184,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_035584663.1",3185,"MULTISPECIES DNA CYTOSINE5METHYLTRANSFERASE BACTERIA"
"WP_214725904.1",3186,"MULTISPECIES MFS TRANSPORTER BACTERIA"
"WP_130083032.1",3187,"MULTISPECIES BIFUNCTIONAL GLUTAMATE NACETYLTRANSFERASEAMINOACID ACETYLTRANSFERASE ARGJ BACTERIA"
"WP_214709442.1",3188,"MULTISPECIES ABC TRANSPORTER PERMEASE BACTERIA"
"WP_016509653.1",3189,"MULTISPECIES VACJ FAMILY LIPOPROTEIN BACTERIA"
"WP_214707038.1",3190,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_136676029.1",3191,"MULTISPECIES MBL FOLD METALLOHYDROLASE BACTERIA"
"WP_135019795.1",3192,"MULTISPECIES MFS TRANSPORTER BACTERIA"
"WP_214722751.1",3193,"MULTISPECIES METHYLACCEPTING CHEMOTAXIS PROTEIN BACTERIA"
"WP_008764150.1",3194,"MULTISPECIES EXODEOXYRIBONUCLEASE VII LARGE SUBUNIT BACTERIA"
"WP_015881437.1",3195,"MULTISPECIES LIPID IIGLYCINE GLYCYLTRANSFERASE FEMX BACTERIA"
"WP_142291428.1",3196,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_024628397.1",3197,"MULTISPECIES LLDIAMINOPIMELATE AMINOTRANSFERASE BACTERIA"
"WP_009276932.1",3198,"MULTISPECIES TOLC FAMILY PROTEIN BACTERIA"
"WP_001572111.1",3199,"MULTISPECIES OANTIGEN LIGASE FAMILY PROTEIN BACTERIA"
"WP_002883312.1",3200,"MULTISPECIES LIPID III FLIPPASE WZXE BACTERIA"
"WP_173815546.1",3201,"MULTISPECIES GLYCOSYL HYDROLASE FAMILY 28 PROTEIN BACTERIA"
"WP_214705118.1",3202,"MULTISPECIES MFS TRANSPORTER BACTERIA"
"WP_113845352.1",3203,"MULTISPECIES PTS ASCORBATE TRANSPORTER SUBUNIT IIC BACTERIA"
"WP_144725532.1",3204,"MULTISPECIES INTEGRASE ARMTYPE DNABINDING DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214729435.1",3205,"MULTISPECIES TOLB DOMAINCONTAINING PROTEIN BACTERIA"
"WP_113845451.1",3206,"MULTISPECIES EXTRACELLULAR SOLUTEBINDING PROTEIN BACTERIA"
"WP_142447299.1",3207,"MULTISPECIES RESTRICTION ENDONUCLEASE SUBUNIT S BACTERIA"
"WP_002297404.1",3208,"MULTISPECIES IS110 FAMILY TRANSPOSASE BACTERIA"
"WP_002368865.1",3209,"MULTISPECIES PTS GALACTITOL TRANSPORTER SUBUNIT IIC BACTERIA"
"WP_103633604.1",3210,"MULTISPECIES GLYCEROL3PHOSPHATE DEHYDROGENASE SUBUNIT GLPB BACTERIA"
"WP_131624203.1",3211,"MULTISPECIES MULTIDRUG EFFFLUX MFS TRANSPORTER BACTERIA"
"WP_002378848.1",3212,"MULTISPECIES SITESPECIFIC DNAMETHYLTRANSFERASE BACTERIA"
"WP_214723058.1",3213,"MULTISPECIES ACYLTRANSFERASE BACTERIA"
"WP_153163757.1",3214,"MULTISPECIES TYROSINETYPE RECOMBINASEINTEGRASE BACTERIA"
"WP_005799237.1",3215,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_002312259.1",3216,"MULTISPECIES NUCLEOTIDE SUGAR DEHYDROGENASE BACTERIA"
"WP_040078978.1",3217,"MULTISPECIES O54 FAMILY OANTIGEN FLIPPASE BACTERIA"
"WP_214728480.1",3218,"MULTISPECIES COMPETENCEDAMAGEINDUCIBLE PROTEIN A BACTERIA"
"WP_003128228.1",3219,"MULTISPECIES EXTRACELLULAR SOLUTEBINDING PROTEIN BACTERIA"
"WP_142957718.1",3220,"MULTISPECIES PLASMID RECOMBINATION PROTEIN BACTERIA"
"WP_004294822.1",3221,"MULTISPECIES RELAXASEMOBILIZATION NUCLEASE DOMAINCONTAINING PROTEIN BACTERIA"
"WP_031600262.1",3222,"MULTISPECIES IS256LIKE ELEMENT ISBSU2 FAMILY TRANSPOSASE BACTERIA"
"WP_015517767.1",3223,"MULTISPECIES PLASMID RECOMBINATION PROTEIN BACTERIA"
"WP_214706677.1",3224,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_140455355.1",3225,"MULTISPECIES HAMP DOMAINCONTAINING HISTIDINE KINASE BACTERIA"
"WP_214727456.1",3226,"MULTISPECIES M20 FAMILY METALLOPEPTIDASE BACTERIA"
"WP_021409712.1",3227,"MULTISPECIES RADICAL SAM PROTEIN BACTERIA"
"WP_214722748.1",3228,"MULTISPECIES MFS TRANSPORTER BACTERIA"
"WP_002511887.1",3229,"MULTISPECIES MFS TRANSPORTER BACTERIA"
"WP_214727755.1",3230,"MULTISPECIES HELIXTURNHELIX DOMAINCONTAINING PROTEIN BACTERIA"
"WP_001350121.1",3231,"MULTISPECIES HLYD FAMILY TYPE I SECRETION PERIPLASMIC ADAPTOR SUBUNIT BACTERIA"
"WP_000019067.1",3232,"MULTISPECIES ISL3 FAMILY TRANSPOSASE BACTERIA"
"WP_006681128.1",3233,"MULTISPECIES CARBOXYLATEAMINE LIGASE BACTERIA"
"WP_214728952.1",3234,"MULTISPECIES EAL DOMAINCONTAINING PROTEIN BACTERIA"
"WP_118720332.1",3235,"MULTISPECIES AMINOPEPTIDASE BACTERIA"
"WP_101511940.1",3236,"MULTISPECIES RELAXASE MOBL BACTERIA"
"WP_119843302.1",3237,"MULTISPECIES LYSOPHOSPHOLIPID ACYLTRANSFERASE FAMILY PROTEIN BACTERIA"
"WP_214707532.1",3238,"MULTISPECIES DUF5667 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214727376.1",3239,"MULTISPECIES MFS TRANSPORTER BACTERIA"
"WP_007830915.1",3240,"MULTISPECIES INSULINASE FAMILY PROTEIN BACTERIA"
"WP_214704141.1",3241,"MULTISPECIES ASPARTATE KINASE BACTERIA"
"WP_138146673.1",3242,"MULTISPECIES 6PHOSPHOFRUCTOKINASE BACTERIA"
"WP_006681001.1",3243,"MULTISPECIES BIFUNCTIONAL PHOSPHOPANTOTHENOYLCYSTEINE DECARBOXYLASEPHOSPHOPANTOTHENATECYSTEINE LIGASE COABC BACTERIA"
"WP_039344330.1",3244,"MULTISPECIES ACYLCOA DEHYDROGENASE FAMILY PROTEIN BACTERIA"
"WP_204407314.1",3245,"MULTISPECIES GLYCOSYLTRANSFERASE FAMILY 2 PROTEIN BACTERIA"
"WP_029486108.1",3246,"MULTISPECIES EXTRACELLULAR SOLUTEBINDING PROTEIN BACTERIA"
"WP_142658216.1",3247,"MULTISPECIES PBSX FAMILY PHAGE TERMINASE LARGE SUBUNIT BACTERIA"
"WP_142447326.1",3248,"MULTISPECIES SITESPECIFIC INTEGRASE BACTERIA"
"WP_215978246.1",3249,"MULTISPECIES EXODEOXYRIBONUCLEASE VII LARGE SUBUNIT BACTERIA"
"WP_214728563.1",3250,"MULTISPECIES M20 FAMILY METALLOHYDROLASE BACTERIA"
"WP_195340705.1",3251,"MULTISPECIES PLASMID RECOMBINATION PROTEIN BACTERIA"
"WP_152561062.1",3252,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214704972.1",3253,"MULTISPECIES SUBSTRATEBINDING DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214704030.1",3254,"MULTISPECIES FLAGELLAR HOOKLENGTH CONTROL PROTEIN FLIK BACTERIA"
"WP_214707170.1",3255,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_115235219.1",3256,"MULTISPECIES RESTRICTION ENDONUCLEASE SUBUNIT S BACTERIA"
"WP_006681130.1",3257,"MULTISPECIES HRDC DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214832554.1",3258,"MULTISPECIES SITESPECIFIC INTEGRASE BACTERIA"
"WP_000682608.1",3259,"MULTISPECIES BIFUNCTIONAL GLUTAMATE NACETYLTRANSFERASEAMINOACID ACETYLTRANSFERASE ARGJ BACTERIA"
"WP_000650337.1",3260,"MULTISPECIES CARDIOLIPIN SYNTHASE CLSB BACTERIA"
"WP_054350315.1",3261,"MULTISPECIES DUF5906 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_142430987.1",3262,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214723767.1",3263,"MULTISPECIES ATPBINDING PROTEIN BACTERIA"
"WP_142958035.1",3264,"MULTISPECIES VWA DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214707122.1",3265,"MULTISPECIES S41 FAMILY PEPTIDASE BACTERIA"
"WP_214705583.1",3266,"MULTISPECIES M20 FAMILY METALLOHYDROLASE BACTERIA"
"WP_214705019.1",3267,"MULTISPECIES BETAKETOACYLACP SYNTHASE II BACTERIA"
"WP_090423511.1",3268,"MULTISPECIES IS3 FAMILY TRANSPOSASE BACTERIA"
"WP_000122374.1",3269,"MULTISPECIES PLASMID RECOMBINATION PROTEIN BACTERIA"
"WP_142477221.1",3270,"MULTISPECIES IS110 FAMILY TRANSPOSASE BACTERIA"
"WP_142430829.1",3271,"MULTISPECIES TRBIVIRB10 FAMILY PROTEIN BACTERIA"
"WP_086311780.1",3272,"MULTISPECIES RESTRICTION ENDONUCLEASE SUBUNIT S BACTERIA"
"WP_214774547.1",3273,"MULTISPECIES UDPGLUCOSEGDPMANNOSE DEHYDROGENASE FAMILY PROTEIN BACTERIA"
"WP_070613320.1",3274,"MULTISPECIES AROMATIC AMINO ACID TRANSPORTER BACTERIA"
"WP_142437747.1",3275,"MULTISPECIES EXTRACELLULAR SOLUTEBINDING PROTEIN BACTERIA"
"WP_214705801.1",3276,"MULTISPECIES ERYTHROMYCIN ESTERASE FAMILY PROTEIN BACTERIA"
"WP_086519961.1",3277,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_054287335.1",3278,"MULTISPECIES RELAXASE MOBL BACTERIA"
"WP_195340661.1",3279,"MULTISPECIES IS256 FAMILY TRANSPOSASE BACTERIA"
"WP_033881779.1",3280,"MULTISPECIES GAMMADLGLUTAMYL HYDROLASE BACTERIA"
"WP_062695837.1",3281,"MULTISPECIES GLYCOSYLTRANSFERASE FAMILY 4 PROTEIN BACTERIA"
"WP_214706186.1",3282,"MULTISPECIES ACYLTRANSFERASE BACTERIA"
"WP_214722390.1",3283,"MULTISPECIES MFS TRANSPORTER BACTERIA"
"WP_075749406.1",3284,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_008783053.1",3285,"MULTISPECIES DNA REPLICATION AND REPAIR PROTEIN RECF BACTERIA"
"WP_006590959.1",3286,"MULTISPECIES HADIIA FAMILY HYDROLASE BACTERIA"
"WP_119844737.1",3287,"MULTISPECIES TRYPTOPHAN 7HALOGENASE BACTERIA"
"WP_214706912.1",3288,"MULTISPECIES SERINETHREONINE TRANSPORTER SSTT BACTERIA"
"WP_024629027.1",3289,"MULTISPECIES CATIONPROTON ANTIPORTER BACTERIA"
"WP_106510836.1",3290,"MULTISPECIES BIFUNCTIONAL SUCCINYLORNITHINE TRANSAMINASEACETYLORNITHINE TRANSAMINASE BACTERIA"
"WP_006681120.1",3291,"MULTISPECIES GLUCOSE1PHOSPHATE ADENYLYLTRANSFERASE BACTERIA"
"WP_028992619.1",3292,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_032840599.1",3293,"MULTISPECIES RHAMNOGALACTURONAN ACETYLESTERASE BACTERIA"
"WP_142434648.1",3294,"MULTISPECIES AAA FAMILY ATPASE BACTERIA"
"WP_144725474.1",3295,"MULTISPECIES MFS TRANSPORTER BACTERIA"
"WP_114518647.1",3296,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_028532707.1",3297,"MULTISPECIES PHAGE MAJOR CAPSID PROTEIN BACTERIA"
"WP_214710219.1",3298,"MULTISPECIES GLYCINE ZIPPER DOMAINCONTAINING PROTEIN BACTERIA"
"WP_010743591.1",3299,"MULTISPECIES MINOR CAPSID PROTEIN BACTERIA"
"WP_002365932.1",3300,"MULTISPECIES S8 FAMILY SERINE PEPTIDASE BACTERIA"
"WP_016807978.1",3301,"MULTISPECIES STY4528 FAMILY PATHOGENICITY ISLAND REPLICATION PROTEIN BACTERIA"
"WP_000004159.1",3302,"MULTISPECIES MACROLIDE RESISTANCE MFS TRANSPORTER MRXA BACTERIA"
"WP_122646639.1",3303,"MULTISPECIES IS21 FAMILY TRANSPOSASE BACTERIA"
"WP_073122607.1",3304,"MULTISPECIES DEADDEAH BOX HELICASE BACTERIA"
"WP_005879061.1",3305,"MULTISPECIES PDDEXK NUCLEASE FAMILY PROTEIN BACTERIA"
"WP_142962320.1",3306,"MULTISPECIES SIR2 FAMILY PROTEIN BACTERIA"
"WP_035386049.1",3307,"MULTISPECIES MFS TRANSPORTER BACTERIA"
"WP_020364758.1",3308,"MULTISPECIES AMINOACYLTRANSFERASE BACTERIA"
"WP_214722686.1",3309,"MULTISPECIES BCRCFLA FAMILY EFFLUX MFS TRANSPORTER BACTERIA"
"WP_004291422.1",3310,"MULTISPECIES SITESPECIFIC INTEGRASE BACTERIA"
"WP_024423994.1",3311,"MULTISPECIES TERD FAMILY PROTEIN BACTERIA"
"WP_214725809.1",3312,"MULTISPECIES INSULINASE FAMILY PROTEIN BACTERIA"
"WP_071623619.1",3313,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_096376721.1",3314,"MULTISPECIES RESTRICTION ENDONUCLEASE SUBUNIT S BACTERIA"
"WP_214704514.1",3315,"MULTISPECIES GLYCOSYLTRANSFERASE FAMILY 4 PROTEIN BACTERIA"
"WP_006484111.1",3316,"MULTISPECIES PEPSY DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214726792.1",3317,"MULTISPECIES ARGININE DEIMINASE BACTERIA"
"WP_015881277.1",3318,"MULTISPECIES FTSWRODASPOVE FAMILY CELL CYCLE PROTEIN BACTERIA"
"WP_214728822.1",3319,"MULTISPECIES AMPBINDING PROTEIN BACTERIA"
"WP_016631239.1",3320,"MULTISPECIES PHAGE PORTAL PROTEIN BACTERIA"
"WP_045233210.1",3321,"MULTISPECIES O21 FAMILY OANTIGEN FLIPPASE BACTERIA"
"WP_033780699.1",3322,"MULTISPECIES RELAXASE MOBL BACTERIA"
"WP_142667673.1",3323,"MULTISPECIES PHAGE PORTAL PROTEIN BACTERIA"
"WP_214726113.1",3324,"MULTISPECIES DNA REPAIR EXONUCLEASE BACTERIA"
"WP_214708751.1",3325,"MULTISPECIES MFS TRANSPORTER BACTERIA"
"WP_023096293.1",3326,"MULTISPECIES PHOSPHOADENOSINE PHOSPHOSULFATE REDUCTASE FAMILY PROTEIN BACTERIA"
"WP_003744423.1",3327,"MULTISPECIES PILTPILU FAMILY TYPE 4A PILUS ATPASE BACTERIA"
"WP_214724396.1",3328,"MULTISPECIES REPB FAMILY PLASMID REPLICATION INITIATOR PROTEIN BACTERIA"
"WP_215975954.1",3329,"MULTISPECIES GLYCOSIDE HYDROLASE FAMILY 88 PROTEIN BACTERIA"
"WP_144725530.1",3330,"MULTISPECIES MFS TRANSPORTER BACTERIA"
"WP_214710322.1",3331,"MULTISPECIES MOLYBDOPTERIN MOLYBDOTRANSFERASE MOEA BACTERIA"
"WP_145360465.1",3332,"MULTISPECIES PHAGE PORTAL PROTEIN BACTERIA"
"WP_028020451.1",3333,"MULTISPECIES LCP FAMILY PROTEIN BACTERIA"
"WP_159364219.1",3334,"MULTISPECIES WINGED HELIXTURNHELIX TRANSCRIPTIONAL REGULATOR BACTERIA"
"WP_214727864.1",3335,"MULTISPECIES 23DIKETO5METHYLTHIOPENTYL1PHOSPHATE ENOLASE BACTERIA"
"WP_214704751.1",3336,"MULTISPECIES ASPARTATE KINASE BACTERIA"
"WP_214725231.1",3337,"MULTISPECIES M20 FAMILY METALLOPEPTIDASE BACTERIA"
"WP_214722741.1",3338,"MULTISPECIES METHYLTRANSFERASE DOMAINCONTAINING PROTEIN BACTERIA"
"WP_009305135.1",3339,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_085080172.1",3340,"MULTISPECIES TYROSINETYPE RECOMBINASEINTEGRASE BACTERIA"
"WP_214707340.1",3341,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_209148673.1",3342,"MULTISPECIES RNAGUIDED ENDONUCLEASE TNPB FAMILY PROTEIN BACTERIA"
"WP_214727712.1",3343,"MULTISPECIES ABC TRANSPORTER SUBSTRATEBINDING PROTEIN BACTERIA"
"WP_214707454.1",3344,"MULTISPECIES PEPTIDASE T BACTERIA"
"WP_214729439.1",3345,"MULTISPECIES CNNM DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214709943.1",3346,"MULTISPECIES NADPFADDEPENDENT OXIDOREDUCTASE BACTERIA"
"WP_154907809.1",3347,"MULTISPECIES SITESPECIFIC INTEGRASE BACTERIA"
"WP_000162952.1",3348,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_004292643.1",3349,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214708693.1",3350,"MULTISPECIES GLUTATHIONYLSPERMIDINE SYNTHASE FAMILY PROTEIN BACTERIA"
"WP_141335700.1",3351,"MULTISPECIES ABC TRANSPORTER SUBSTRATEBINDING PROTEIN BACTERIA"
"WP_000156041.1",3352,"MULTISPECIES TYROSINETYPE RECOMBINASEINTEGRASE BACTERIA"
